customer_id,total_spent,frequency
1617b1357756262bfa56ab541c47bc16,13440.0,1
ec5b2ba62e574342386871631fafd3fc,7160.0,1
c6e2731c5b391845f6800c97401a43a9,6735.0,1
f48d464a0baaea338cb25f816991ab1f,6729.0,1
3fd6777bbce08a352fddd04e4a7cc8f6,6499.0,1
05455dfa7cd02f13d132aa7a6a9729c6,5934.6,1
df55c14d1476a9a3467f131269c2477f,4799.0,1
24bbf5fd2f2e1b359ee7de94defc4a15,4690.0,1
e0a2412720e9ea4f26c1ac985f6a7358,4599.9,1
3d979689f636322c62418b6346b1c6d2,4590.0,1
cc803a2c412833101651d3f90ca7de24,4400.0,1
1afc82cd60e303ef09b4ef9837c9505c,4399.87,1
35a413c7ca3c69756cb75867d6311c0d,4099.99,1
e9b0d0eb3015ef1c9ce6cf5b9dcbee9f,4059.0,1
c6695e3b1e48680db36b487419fb0398,3999.9,1
926b6a6fb8b6081e00b335edaf578d35,3999.0,1
3be2c536886b2ea4668eced3a80dd0bb,3980.0,1
31e83c01fce824d0ff786fcd48dad009,3930.0,1
eb7a157e8da9c488cd4ddc48711f1097,3899.0,1
19b32919fa1198aefc0773ee2e46e693,3700.0,1
66657bf1753d82d0a76f2c4719ab8b85,3699.99,1
addc91fdf9c2b3045497b57fc710e820,3690.0,1
7d03bf20fa96e80468bbf678eebbcb3f,3597.0,1
39d6658037b1b5a07d0a24d423f0bd19,3549.0,1
e7c905bf4bb13543e8df947af4f3d9e9,3399.99,1
0b16ce67087d02bf833c807e82b1992b,3300.0,1
a7ea318cbe9df2ec79ab37cd7ca2135d,3198.0,1
46bb3c0b1a65c8399d0363cefbcc4f37,3124.0,1
26dcb450c4b5b390e79e6d5d0f2c6535,3109.99,1
7e7d2271d6f55b03b0bd4615c5f2de6e,3105.0,1
a95f4bbcf95262b073e4afa481b59ff8,3099.9,1
71901689c5f3e5adc27b1dd16b33f0b8,3099.75,1
803cd9b04f9cd252c6a83a2ecdbc22c3,3099.0,1
3c7c62e8d38fb18a33a45db8021f2d69,3089.0,1
0a209a88c2e3dc2981c79ad85c558059,2999.99,1
10a86619816f9d2afce3f45b04aabc71,2999.99,1
c03dfaf5db49d8583edbb5627f92058d,2999.9,1
3a4e4932f3e6976dd966f1d3c044d49e,2999.89,1
4312e816d88fa8bdb6246878f61cdad5,2999.89,1
8dd4c93bfbebe2a77657d46ef959a7ac,2999.89,1
d7c94e22bfd332eb29b0f5badc3ce103,2999.89,1
fd78e5e3abdc375368456fe738694c00,2999.89,1
101c8d91278c4de9001566d27033f673,2999.0,1
c26acf0451e0f8ec1f5218731b9a51cf,2990.0,1
9d4ba8752b5b737f45da0544b669552a,2951.0,1
6152fbfc8a92ee25fd821740bd33b089,2920.0,1
f7622098214b4634b7fe7eee269b5426,2919.4,1
a244afc7a1ec53f1aad296d1cd6e91ba,2899.0,1
a5c69c3bf293d341b6a56a4b7307c529,2899.0,1
f41666558f4e35056a445c27c2ac3d8b,2874.0,1
1ff773612ab8934db89fd5afa8afe506,2849.8999999999996,1
9f9717a71bd8f6e5600b4faad20c20fb,2799.65,1
1be0dd2f660a5a04ee20d608075f1b83,2799.0,1
97dd9c6923b3237b650f1f4f3f2145ad,2749.65,1
fced842c7dad61e8ce47b49229659718,2749.0,1
8e2c57611e09e143ec4ab76e38033bef,2740.0,1
08dc68ad9ab343289844fa36f6963b8f,2700.0,1
5f87c05477db2d22c63b718299c9c03e,2700.0,1
55fd5d10a5036383fe19af015d2e5a80,2699.0,1
a8f345f82667eb421151dc7626147636,2699.0,1
19365ad6a18ccf1baf6eb71c30651096,2690.0,1
3f083b9f62e687be8d84684c7d54c8db,2690.0,1
e5df9583ddbe3f4f3857d9b667dfa609,2689.0,1
2e0339ff984d6f41f11dfdbc7c93dcda,2680.0,1
695476b5848d64ba0875324c88390206,2649.99,1
